region	mean.imp
chr1.10612939.10612941	0.30215017455751
chr1.11761632.11761634	-0.064071215863223
chr1.163588550.163588552	1.83212558794496
chr1.208121462.208121487	0.0785620153242291
chr1.243432733.243432735	-0.089532551318636
chr1.245562878.245562880	1.45786184848275
chr1.3265345.3265347	0.0180952363295064
chr1.44172356.44172358	0.950012901861816
chr1.45868501.45868503	-0.314782929164251
chr11.1033278.1033280	0.421300602297768
chr11.68458044.68458046	0.0706614143365296
chr12.100127882.100127884	2.03629959283814
chr12.11671799.11671801	0.0457924644089371
chr12.124061420.124061422	0.239082070516282
chr12.14633502.14633505	-0.481498534494837
chr12.47868625.47868627	1.29604342351469
chr12.75954808.75954810	-0.178258471162608
chr13.102434590.102434648	2.89521080564161
chr13.110792832.110792834	2.23858980828882
chr13.44127461.44127463	-0.112897265496269
chr13.49117598.49117600	1.07909748531781
chr13.51916520.51916522	0.372149321946208
chr13.81730424.81730426	1.60297769924725
chr14.28294530.28294532	0.168373741750242
chr15.68505860.68505862	-0.189593691476647
chr15.83093312.83093314	0.0279837091112429
chr16.21433945.21433951	0.875265801679749
chr16.27659491.27659493	-0.429519640614346
chr16.4177538.4177540	0.922444409539387
chr16.85089861.85089864	0.0743671856727701
chr16.87451368.87451370	0.736054184064333
chr17.21256353.21256355	0.401370431834256
chr17.24605815.24605880	1.85012590418909
chr17.38526520.38526522	-0.523072412044681
chr17.39386350.39386357	1.74004145077846
chr17.57897741.57897743	-0.190191608474563
chr17.62139880.62139883	0.0281659886141046
chr17.68897308.68897311	0.811083893865413
chr17.71684379.71684381	2.10500745871922
chr18.10531355.10531357	0.596306049921993
chr18.46067854.46067856	-0.227283911480133
chr18.58005633.58005635	0.500438222953215
chr19.16159415.16159417	0.503883473349761
chr19.17306860.17306862	-0.103053399414246
chr19.18834995.18834997	0.689064961579932
chr19.24018962.24018964	-0.0695540486215019
chr19.38247873.38247875	-0.287699846776784
chr19.46391163.46391165	0.0949214104926105
chr19.7440399.7440401	-0.588016542970507
chr19.9646145.9646169	0.520391678855283
chr2.20649280.20649282	0.576336695659738
chr2.224253167.224253169	1.03022053839856
chr2.235126772.235126774	-0.00389533367236829
chr2.23625039.23625041	2.00929954211372
chr2.240614119.240614121	0.0782951277621718
chr2.2833328.2833331	0.483721589035903
chr2.72919215.72919217	0.374697337987098
chr2.91148101.91148103	0.40331930611608
chr20.2603212.2603214	1.93521315413608
chr20.42787289.42787291	-0.229666751914688
chr20.55729905.55729908	0.235953654858123
chr22.32647385.32647387	1.07419254272352
chr22.47239429.47239431	-0.672592608011629
chr23.96605326.96605328	0.29875996535859
chr3.40668916.40668918	-0.210464924791493
chr3.44011450.44011452	2.38851161881523
chr3.77807792.77807794	0.422197453422801
chr4.109484422.109484424	0.802132428687603
chr4.187147122.187147124	-0.349637243519768
chr4.2047841.2047843	-0.354104013774969
chr4.3744313.3744315	0.231954868424183
chr4.52956265.52956267	1.36349355966835
chr4.8727047.8727141	0.79141633214911
chr5.147281664.147281666	2.02823876552094
chr5.160521192.160521194	-0.404616521085306
chr5.74842940.74842942	2.25867284727524
chr5.79296778.79296780	0.57102471320132
chr5.96867846.96867848	0.274817974248323
chr6.170310312.170310314	0.759760195461459
chr6.42923621.42923642	-0.22608015299279
chr6.43611776.43611778	0.0122761279499675
chr7.100769437.100769439	-0.269392360481449
chr7.129514960.129514962	2.59548582553233
chr7.149073167.149073169	0.331415311963411
chr7.157093401.157093403	0.590300663353879
chr7.6065102.6065104	2.22829829113657
chr7.6416845.6416847	0.304245045808173
chr7.75825514.75825515	0.654448210708238
chr7.885451.885455	0.996238338853146
chr7.97869461.97869463	0.683596249797147
chr8.1190635.1190637	-0.0315881213379831
chr9.107989585.107989587	-0.413243688877102
chr9.129381349.129381351	1.68175689726886
chr9.132285375.132285377	0.213464458852913
chr9.133238801.133238803	0.408102625176585
chr9.133411599.133411601	1.33826565070345
chr9.136391767.136391769	-0.26935437301619
chr9.36528286.36528288	1.10220737190624
